SentrixBarcode_A	SentrixPosition_A	Sample_Group	hd_id	gw_id
5434203057	R02C01	HG00457	5434203057_R02C01.txt	gw6.HG00457
5434203074	R01C01	HG00607	5434203074_R01C01.txt	gw6.HG00607
5443767132	R03C01	NA18508	5443767132_R03C01.txt	gw6.NA18508
5885434016	R04C01	NA21118	5885434016_R04C01.txt	gw6.NA21118
5767770135	R03C01	NA20901	5767770135_R03C01.txt	gw6.NA20901
5434078116	R03C01	NA19904	5434078116_R03C01.txt	gw6.NA19904
5460461169	R01C01	NA20127	5460461169_R01C01.txt	gw6.NA20127
5528550084	R04C01	HG00139	5528550084_R04C01.txt	gw6.HG00139
5434078039	R02C01	HG00339	5434078039_R02C01.txt	gw6.HG00339
5885371017	R04C01	NA21097	5885371017_R04C01.txt	gw6.NA21097
5443767014	R02C01	HG00151	5443767014_R02C01.txt	gw6.HG00151
5434203124	R02C01	HG00319	5434203124_R02C01.txt	gw6.HG00319
5434246028	R01C01	HG01170	5434246028_R01C01.txt	gw6.HG01170
5460461154	R02C01	HG01097	5460461154_R02C01.txt	gw6.HG01097
5443767142	R04C01	NA12005	5443767142_R04C01.txt	gw6.NA12005
5460461203	R01C01	NA19720	5460461203_R01C01.txt	gw6.NA19720
5885434011	R03C01	HG01938	5885434011_R03C01.txt	gw6.HG01938
5434203127	R03C01	HG01083	5434203127_R03C01.txt	gw6.HG01083
5434246106	R04C01	NA19764	5434246106_R04C01.txt	gw6.NA19764
5767796027	R02C01	HG02014	5767796027_R02C01.txt	gw6.HG02014
5460479124	R04C01	NA18642	5460479124_R04C01.txt	gw6.NA18642
5460444011	R03C01	NA18611	5460444011_R03C01.txt	gw6.NA18611
5460444039	R03C01	NA19472	5460444039_R03C01.txt	gw6.NA19472
5885434006	R03C01	HG01789	5885434006_R03C01.txt	gw6.HG01789
5767788028	R01C01	NA20889	5767788028_R01C01.txt	gw6.NA20889
6288236073	R04C01	HG01912	6288236073_R04C01.txt	gw6.HG01912
5434078067	R04C01	HG00127	5434078067_R04C01.txt	gw6.HG00127
5826354152	R02C01	NA21094	5826354152_R02C01.txt	gw6.NA21094
5434246101	R01C01	NA18550	5434246101_R01C01.txt	gw6.NA18550
5767788144	R03C01	HG02002	5767788144_R03C01.txt	gw6.HG02002
5460444068	R04C01	NA20752	5460444068_R04C01.txt	gw6.NA20752
5443767009	R01C01	HG01603	5443767009_R01C01.txt	gw6.HG01603
5443767008	R02C01	HG01510	5443767008_R02C01.txt	gw6.HG01510
5767788032	R04C01	HG01883	5767788032_R04C01.txt	gw6.HG01883
5767788004	R02C01	HG01685	5767788004_R02C01.txt	gw6.HG01685
5434203041	R02C01	HG01277	5434203041_R02C01.txt	gw6.HG01277
5434078080	R04C01	HG01055	5434078080_R04C01.txt	gw6.HG01055
5460461122	R01C01	HG00155	5460461122_R01C01.txt	gw6.HG00155
6298012069	R01C01	HG02471	6298012069_R01C01.txt	gw6.HG02471
5885434007	R01C01	NA20895	5885434007_R01C01.txt	gw6.NA20895
5460444011	R01C01	NA19457	5460444011_R01C01.txt	gw6.NA19457
5460461031	R01C01	HG01494	5460461031_R01C01.txt	gw6.HG01494
5434246019	R01C01	HG00419	5434246019_R01C01.txt	gw6.HG00419
5426511030	R04C01	NA20534	5426511030_R04C01.txt	gw6.NA20534
5434203049	R04C01	HG00273	5434203049_R04C01.txt	gw6.HG00273
5434203122	R04C01	HG00672	5434203122_R04C01.txt	gw6.HG00672
5434203048	R04C01	NA19452	5434203048_R04C01.txt	gw6.NA19452
5460461118	R04C01	NA12842	5460461118_R04C01.txt	gw6.NA12842
5443767105	R04C01	NA18542	5443767105_R04C01.txt	gw6.NA18542
5434203042	R01C01	NA19916	5434203042_R01C01.txt	gw6.NA19916
6317391007	R04C01	HG02427	6317391007_R04C01.txt	gw6.HG02427
5460461128	R02C01	NA19057	5460461128_R02C01.txt	gw6.NA19057
5443767001	R03C01	HG01530	5443767001_R03C01.txt	gw6.HG01530
6298021094	R01C01	HG02299	6298021094_R01C01.txt	gw6.HG02299
6312937061	R04C01	HG02235	6312937061_R04C01.txt	gw6.HG02235
5443767095	R04C01	HG01605	5443767095_R04C01.txt	gw6.HG01605
6298012024	R04C01	HG02182	6298012024_R04C01.txt	gw6.HG02182
6312937019	R03C01	HG02479	6312937019_R03C01.txt	gw6.HG02479
5767770009	R02C01	NA20877	5767770009_R02C01.txt	gw6.NA20877
5460479022	R02C01	HG00357	5460479022_R02C01.txt	gw6.HG00357
5443767041	R04C01	HG00106	5443767041_R04C01.txt	gw6.HG00106
5460461225	R01C01	NA18934	5460461225_R01C01.txt	gw6.NA18934
6298012069	R03C01	HG01815	6298012069_R03C01.txt	gw6.HG01815
6298012061	R01C01	HG02332	6298012061_R01C01.txt	gw6.HG02332
5434203053	R04C01	NA18998	5434203053_R04C01.txt	gw6.NA18998
6268201095	R01C01	HG02398	6268201095_R01C01.txt	gw6.HG02398
5443767133	R04C01	NA18522	5443767133_R04C01.txt	gw6.NA18522
5885434007	R04C01	NA21119	5885434007_R04C01.txt	gw6.NA21119
5434203041	R04C01	HG01113	5434203041_R04C01.txt	gw6.HG01113
5460461179	R04C01	NA19144	5460461179_R04C01.txt	gw6.NA19144
5434203123	R03C01	HG00356	5434203123_R03C01.txt	gw6.HG00356
5460461081	R01C01	NA20317	5460461081_R01C01.txt	gw6.NA20317
6288236098	R02C01	HG02131	6288236098_R02C01.txt	gw6.HG02131
5426529001	R03C01	NA19309	5426529001_R03C01.txt	gw6.NA19309
5473229014	R03C01	NA11995	5473229014_R03C01.txt	gw6.NA11995
5460461214	R02C01	NA19717	5460461214_R02C01.txt	gw6.NA19717
5885434011	R01C01	HG01865	5885434011_R01C01.txt	gw6.HG01865
5491005137	R03C01	HG01359	5491005137_R03C01.txt	gw6.HG01359
5473245025	R01C01	NA19315	5473245025_R01C01.txt	gw6.NA19315
5443767029	R04C01	HG00244	5443767029_R04C01.txt	gw6.HG00244
5434246067	R02C01	NA19324	5434246067_R02C01.txt	gw6.NA19324
5460461128	R01C01	NA19054	5460461128_R01C01.txt	gw6.NA19054
5426511030	R02C01	NA19314	5426511030_R02C01.txt	gw6.NA19314
5460461038	R01C01	NA19377	5460461038_R01C01.txt	gw6.NA19377
5434078077	R01C01	NA19086	5434078077_R01C01.txt	gw6.NA19086
5460479114	R02C01	NA19107	5460479114_R02C01.txt	gw6.NA19107
6298021044	R01C01	HG02255	6298021044_R01C01.txt	gw6.HG02255
5443767002	R03C01	NA19002	5443767002_R03C01.txt	gw6.NA19002
